L22_1,Climate Change: Energy Systems,"Interactions of energy production, demand, limits, and security in climate mitigation and adaptation",9577
L22_2,Climate Change: Biological Responses,Organismal and ecosystem physiological and behavioral responses or adaptations to climate-driven change.,8125
L22_3,Climate Change: Agriculture,"How farming, land use, and food production interact with climate impacts, emissions, and adaptation.",6181
L22_4,Climate Change: Public Health,"Policies, vulnerabilities, and systems protecting community health from climate-driven risks.",5874
L22_5,Climate Change: Fossil Fuels,"Assessment of coal, oil, and natural gas and their environmental, climate, and policy impacts.",5262
L22_6,Climate Change: Mitigation Strategies,"Actions, policies, and technologies to reduce greenhouse gases or remove carbon and limit warming.",4985
L22_7,Climate Change: Governance,"Institutions, rules, and processes guiding mitigation, adaptation, accountability, and decisions",4691
L22_8,Climate Change: Climate Modeling,"Developing and evaluating models, forecasts, and data systems to project climate processes, impacts, and risks.",4687
L22_9,Irrelevant Data,None,4662
L22_10,Climate Change: Atmospheric Science,"Study of atmospheric composition, processes, and circulation relevant to climate and weather.",4341
L22_11,Climate Change: Extreme Weather,"Study of extreme weather events, their causes, trends, and impacts under climate change",3596
L22_12,Climate Change: Geophysical Events,Study of geological and geophysical processes affecting Earth systems and their detection,3337
L22_13,Climate Change: Adaptation,Strategies and actions to adjust to actual or expected climate change effects.,2671
L22_14,Climate Change: Conflict & Security,"How climate-driven resource stress and shocks amplify social tensions, unrest, and security risks.",2459
L22_15,Climate Change: Innovation,"Development, diffusion, and policy dynamics of low‑carbon technologies and climate innovations.",1957
L22_16,Climate Change: Economic Structures,"How economic organization, sectors, and policies shape vulnerability, mitigation, and adaptation.",1525
L22_17,Climate Change: Community Engagement,"Local awareness, participation, and stakeholder actions driving climate understanding and response.",1414
L22_18,Climate Change: Climate Variability,Natural internal and long-term fluctuations in climate affecting regions and their historical context.,1319
L22_19,Climate Change: Urban Planning,Designing and adapting cities' land use and infrastructure to reduce climate risks and emissions.,1315
L22_20,Climate Change: Paleoclimate,"Study of Earth's past climate variability, evidence, and dynamics across geological timescales.",1086
L22_21,Climate Change: Regional Policy,Policies coordinating climate action across neighboring jurisdictions and regions.,1084
L22_22,Climate Change: Economic Assessment,"Evaluation of costs, benefits, and cost‑effectiveness of mitigation, impacts, and related policies.",1045
L22_23,Climate Change: Carbon Markets,Systems trading emissions reductions and removals to finance and incentivize mitigation.,986
L22_24,Climate Change: Molecular Biology,"Molecular assembly, function, and techniques relevant to climate‑linked biological processes.",962
L22_25,Climate Change: Radiative Forcing,"Changes in Earth's energy balance caused by agents like gases, aerosols, solar, volcanic, orbital.",927
L22_26,Climate Change: Attribution Science,Methods to detect and link observed climate changes or events to human versus natural causes.,876
L22_27,Climate Change: Human Migration,"Movement of people driven by climate impacts, vulnerability, adaptation, and livelihood pressures.",832
L22_28,Climate Change: Transportation,"Strategies, systems, and technologies to reduce transport-related greenhouse gas emissions.",814
L22_29,Climate Change: Scientific Research Value,Investing in targeted research to reduce uncertainty and guide mitigation and adaptation decisions.,793
L22_30,Climate Change: Stratospheric Temperature,Changes in stratospheric temperatures and related effects on ozone and climate processes.,758
L22_31,Climate Change: Inventory Methodologies,Methods and frameworks for compiling national and sectoral greenhouse gas inventories.,703
L22_32,Climate Change: Polar Climate Dynamics,"Study of climate processes, variability, and temperature patterns in Arctic and Antarctic regions.",662
L22_33,Climate Change: Disaster Impact Assessment,Evaluating physical and long-term environmental consequences of climate-related disasters,662
L22_34,Climate Change: Animal Health,"Effects of climate change on animal wellbeing, disease risk, and survival",615
L22_35,Climate Change: Coastal Resilience,"Strategies to strengthen coastlines, infrastructure, and communities against sea-level rise and storms.",566
L22_36,Climate Change: Geoengineering,Deliberate interventions to modify Earth systems and climate to reduce warming or impacts.,539
L22_37,Climate Change: Resource Management,"Managing water, land, energy, and ecosystems for resilient sustainable resource use under climate change.",526
L22_38,Climate Change: Crop Resilience,"Developing crops and practices that tolerate drought, pests, and resource stresses to sustain productivity.",426
L22_39,Climate Change: Water-Energy-Food Nexus,"Interconnections among water, energy, and food systems shaping resource security and climate resilience.",403
L22_40,Climate Change: Data Analysis,Techniques for processing and visually representing climate datasets to detect trends and inform decisions.,350
L22_41,Climate Change: Gender Equality,"How climate impacts and responses intersect with gender roles, vulnerabilities, and empowerment.",334
L22_42,Climate Change: Wildfire Risk,"How climate change alters wildfire frequency, intensity, distribution, and associated risks.",300
L22_43,Climate Change: Bioenergy,"Producing and using biomass-based fuels, supply chains, and technologies for emissions mitigation",280
L22_44,Climate Change: Materials Science,Study and development of materials that reduce emissions and endure climate-driven environmental stresses.,279
L22_45,Climate Change: Temperature Forcing,How different forcings and timing drive temperature changes and climate responses,273
L22_46,Climate Change: Uncertainty Quantification,"Measuring and attributing uncertainties in climate observations, models, and projections.",261
L22_47,Climate Change: Tourism Impacts,"How climate change alters tourism patterns, infrastructure, economies, and destination attractiveness.",218
L22_48,Climate Change: Ozone Depletion,"Science, monitoring, impacts, and recovery of the stratospheric ozone layer and climate interactions",215
L22_49,Climate Change: Permafrost Thaw,Thawing frozen ground releasing greenhouse gases and disrupting ecosystems and infrastructure.,208
L22_50,Climate Change: Soil Science,"Study of soil properties, processes, and management affecting carbon, hydrology, and ecosystems",196
L22_51,Climate Change: Cloud Processes,"How cloud properties and formation affect radiation, precipitation, and climate feedbacks.",177
L22_52,Climate Change: Feasibility Assessment,"Analysis of technical, social, political, economic, and institutional feasibility of adaptation measures.",170
L22_53,Climate Change: Scenario Frameworks,"Use of RCPs/SSPs and frameworks to explore emissions, socioeconomic pathways, and futures.",165
