L29_1,Climate Change: Physical Mechanisms,"Physical drivers, processes, and feedbacks shaping climate variability and responses.",9573
L29_2,Climate Change: Human Health,"Climate-driven effects on human physical, mental, and societal wellbeing and livelihoods.",9512
L29_3,Climate Change: Governance,"Policies, institutions, and coordination shaping mitigation, adaptation, and resilience",9397
L29_4,Climate Change: Ecosystem Services,How ecosystems and biodiversity provide benefits and how climate change alters those services.,8193
L29_5,Climate Change: Energy Systems,"Dynamics of energy supply, demand, infrastructure, markets, and sector interactions under climate change",5986
L29_6,Climate Change: Land Use,"How land cover, ownership, and management interact with climate and ecological processes",5330
L29_7,Irrelevant Data,None,4662
L29_8,Climate Change: Pollution Management,"Managing pollution and waste impacts on air, water, soil, and ecosystems under climate change.",4566
L29_9,Climate Change: Emergency Preparedness,Planning and protocols for responding to climate-driven hazards and recovery needs.,3629
L29_10,Climate Change: Carbon Accounting,"Methods and standards for measuring, tracking, and reporting greenhouse gas emissions and footprints.",3372
L29_11,Climate Change: Climate Monitoring,Collecting and analyzing observational data and systems to track climate variables and trends.,3146
L29_12,Climate Change: Hydrology & Flooding,"Interactions of rainfall, soil moisture, snowmelt, and human factors modulating flood risks and runoff.",2454
L29_13,Climate Change: Methane Emissions,"Methane and other short‑lived greenhouse forcers, their warming impacts and metrics versus CO2.",2284
L29_14,Climate Change: Paleoclimate,Reconstructing past climates from proxies and records to understand climate history and hydrology.,2025
L29_15,Climate Change: Human Habitability,Assessing where future climates will remain suitable for human living and settlement,1883
L29_16,Climate Change: Food Systems,"Impact of agricultural production, supply chains, and policies on emissions, resilience, and food provision.",1821
L29_17,Climate Change: Oceanic Processes,"Ocean chemical, physical, and biogeochemical changes affecting climate regulation and marine ecosystems.",1757
L29_18,Climate Change: Coastal Resilience,"Measures protecting or restoring coasts and adjacent waters against erosion, flooding, and ecosystem damage.",1464
L29_19,Climate Change: Planetary Geology,"Geological and deep‑Earth processes affecting climate, volcanism, storage, and habitability.",1421
L29_20,Climate Change: Renewable Energy,"Use and deployment of solar, wind, and other clean energy technologies to reduce emissions",1386
L29_21,Climate Change: Synergies and Trade-offs,"Interactions, benefits, and conflicts among mitigation, adaptation, ecosystems, and development goals.",1381
L29_22,Climate Change: Industrial Decarbonization,"Strategies to reduce carbon emissions from industrial production, processes, and supply chains.",1362
L29_23,Climate Change: Infrastructure Development,"Assessment of infrastructure provision, impacts, and feasibility under climate change.",1308
L29_24,Climate Change: Climate Finance,"Financial mechanisms mobilizing and allocating funds for mitigation, adaptation, and resilience.",1265
L29_25,Climate Change: Sectoral Vulnerability,"How economic sectors differ in exposure, sensitivity, and resilience to climate hazards",1182
L29_26,Climate Change: Gender and Intersectionality,"How gender and overlapping identities shape vulnerability, resilience, and adaptive capacity to climate change.",963
L29_27,Climate Change: Decision Processes,"Framing and integrating time horizons, uncertainties, and scenarios for climate policy choices.",869
L29_28,Climate Change: Urbanization,"How city growth influences emissions, infrastructure, and local environmental impacts.",746
L29_29,Climate Change: International Cooperation,"Cross-border collaboration coordinating mitigation, adaptation, and climate finance governance.",658
L29_30,Climate Change: Temperature Thresholds,Impacts and risks once warming exceeds specific temperature limits above preindustrial levels.,518
L29_31,Climate Change: Environmental History,Study of past human–environment interactions and ecological impacts to inform climate understanding.,421
L29_32,Climate Change: Global Solutions,Strategies and actions to mitigate and adapt to planetary-scale climate change.,390
L29_33,Climate Change: Human Displacement,"Population movements caused by climate hazards and resulting social, economic, and political effects.",371
L29_34,Climate Change: Labor & Employment,"Effects of climate change and mitigation on jobs, workforce shifts, and green employment.",333
L29_35,Climate Change: Fire Management,"Practices and strategies to prevent, manage, and respond to wildfires under climate change.",307
L29_36,Climate Change: Communication & Awareness,Sharing information and engaging the public to increase understanding and prompt climate action.,303
L29_37,Climate Change: Health Innovation,Medical technologies and strategies addressing health challenges amplified by climate change.,287
L29_38,Climate Change: Ozone Depletion,"Effects of ozone layer changes on UV exposure, ecosystems, and human health",269
L29_39,Climate Change: Emission-Temperature Relationship,How cumulative and regional CO₂ emissions relate to global and near-term temperature change.,213
L29_40,Climate Change: Technology Transfer,Barriers and capacity-building for developing countries to adopt climate technologies.,202
L29_41,Climate Change: Indigenous Impacts,"How climate change threatens Indigenous communities’ food security, culture, livelihoods, and ecosystems.",178
L29_42,Climate Change: Biotechnology Innovations,Biotechnological approaches using engineered organisms or genomics to address climate-driven biological and sustainability challenges,174
L29_43,Climate Change: Interdisciplinary Research,Integrating knowledge systems and social sciences to co-design climate solutions and adaptation.,168
L29_44,Climate Change: Misinformation,False or misleading claims that distort public understanding of climate science,163
L29_45,Climate Change: Economic Transformation,Structural economic and policy shifts enabling low‑carbon systems and investments.,152
